"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C12 H12 O4",219.0664518,"O4","CHO","Lignin",12,12,4,0,0,0,1,1,7,0.5,-0.3333,69.79905
"C11 H12 O3 N2",219.0776909,"N2 O3","CHON","Other",11,12,3,2,0,0,1.09,1.09,7,0.4667,0,60.3
"C9 H16 O6",219.087604,"O6","CHO","Amino Sugar",9,16,6,0,0,0,1.78,1.78,2,-0.1667,-0.4444,72.9654
"C13 H16 O3",219.1028631,"O3","CHO","Other",13,16,3,0,0,0,1.23,1.23,6,0.3913,-0.7692,82.2222
"C10 H20 O5",219.1239708,"O5","CHO","Protein",10,20,5,0,0,0,2,2,1,-0.2,-1,88.8
"C11 H10 O5",221.0457433,"O5","CHO","Lignin",11,10,5,0,0,0,0.91,0.91,7,0.5294,0,60.3
"C12 H14 O4",221.0821145,"O4","CHO","Lignin",12,14,4,0,0,0,1.17,1.17,6,0.4,-0.5,74.55
"C11 H14 O3 N2",221.09336,"N2 O3","CHON","Other",11,14,3,2,0,0,1.27,1.27,6,0.3333,-0.1818,65.4813
"C13 H18 O3",221.1185207,"O3","CHO","Other",13,18,3,0,0,0,1.38,1.38,5,0.3043,-0.9231,86.60835
"C14 H22 O2",221.1548966,"O2","CHO","Lipid",14,22,2,0,0,0,1.57,1.57,4,0.2308,-1.2857,96.94245
"C7 H13 O7 N1",222.0621575,"N1 O7","CHON","Carbohydrate",7,13,7,1,0,0,1.86,1.86,2,-1,0.5714,44.0151
"C11 H13 O4 N1",222.077368,"N1 O4","CHON","Lignin",11,13,4,1,0,0,1.18,1.18,6,0.375,-0.1818,65.4813
"C10 H8 O6",223.0250016,"O6","CHO","Cond Hydrocarbon",10,8,6,0,0,0,0.8,0.8,7,0.5714,0.4,48.9
"C11 H12 O5",223.0613916,"O5","CHO","Lignin",11,12,5,0,0,0,1.09,1.09,6,0.4118,-0.1818,65.4813
"C8 H16 O5 S1",223.0647581,"S1 O5","CHOS","Other",8,16,5,0,1,0,2,2,1,-0.5556,-0.5,74.55
