"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C16 H15 O10 P1",397.0335827,"P1 O10","CHOP","Lignin",16,15,10,0,0,1,0.94,0.94,10,0.4,0.3125,51.39375
"C16 H14 O12",397.0416387,"O12","CHO","Tannin",16,14,12,0,0,0,0.88,0.88,10,0.4,0.625,42.4875
"C20 H14 O9",397.0569001,"O9","CHO","Cond Hydrocarbon",20,14,9,0,0,0,0.7,0.7,14,0.6129,0.2,54.6
"C17 H18 O9 S1",397.0603157,"S1 O9","CHOS","Lignin",17,18,9,0,1,0,1.06,1.06,9,0.3043,0.1176,56.9484
"C14 H22 O11 S1",397.0814185,"S1 O11","CHOS","Carbohydrate",14,22,11,0,1,0,1.57,1.57,4,-0.3333,0.1429,56.22735
"C16 H18 O10 N2",397.0892649,"N2 O10","CHON","Lignin",16,18,10,2,0,0,1.12,1.12,9,0.2222,0.5,46.05
"C18 H22 O8 S1",397.0967022,"S1 O8","CHOS","Lignin",18,22,8,0,1,0,1.22,1.22,8,0.2308,-0.2222,66.6327
"C19 H26 O7 S1",397.1331063,"S1 O7","CHOS","Lignin",19,26,7,0,1,0,1.37,1.37,7,0.1724,-0.5263,75.29955
"C19 H13 O9 N1",398.0521261,"N1 O9","CHON","Cond Hydrocarbon",19,13,9,1,0,0,0.68,0.68,14,0.6296,0.4211,48.29865
"C16 H17 O11 N1",398.0732963,"N1 O11","CHON","Tannin",16,17,11,1,0,0,1.06,1.06,9,0.2632,0.5,46.05
"C20 H17 O8 N1",398.0885328,"N1 O8","CHON","Lignin",20,17,8,1,0,0,0.85,0.85,13,0.5333,0.1,57.45
"C15 H12 O11 S1",399.0031507,"S1 O11","CHOS","Tannin",15,12,11,0,1,0,0.8,0.8,10,0.4118,0.8,37.5
"C23 H12 O5 S1",399.0337572,"S1 O5","CHOS","Cond Hydrocarbon",23,12,5,0,1,0,0.52,0.52,18,0.7436,0,60.3
"C12 H17 O13 P1",399.0337572,"P1 O13","CHOP","Other",12,17,13,0,0,1,1.42,1.42,5,-0.5556,0.75,38.925
"C19 H12 O10",399.0361584,"O10","CHO","Cond Hydrocarbon",19,12,10,0,0,0,0.63,0.63,14,0.6429,0.4211,48.29865
"C16 H16 O10 S1",399.0395319,"S1 O10","CHOS","Lignin",16,16,10,0,1,0,1,1,9,0.3,0.375,49.6125
"C17 H20 O9 S1",399.0759345,"S1 O9","CHOS","Lignin",17,20,9,0,1,0,1.18,1.18,8,0.2174,0,60.3
"C16 H20 O10 N2",399.1049174,"N2 O10","CHON","Lignin",16,20,10,2,0,0,1.25,1.25,8,0.1111,0.375,49.6125
"C14 H25 O11 P1",399.1067527,"P1 O11","CHOP","Carbohydrate",14,25,11,0,0,1,1.79,1.79,3,-0.4667,-0.2143,66.40755
"C19 H28 O7 S1",399.1487426,"S1 O7","CHOS","Protein",19,28,7,0,1,0,1.47,1.47,6,0.1034,-0.6316,78.3006
"C18 H11 O10 N1",400.0314131,"N1 O10","CHON","Cond Hydrocarbon",18,11,10,1,0,0,0.61,0.61,14,0.6667,0.6667,41.29905
"C19 H15 O9 N1",400.0677833,"N1 O9","CHON","Cond Hydrocarbon",19,15,9,1,0,0,0.79,0.79,13,0.5556,0.3158,51.2997
"C21 H23 O7 N1",400.1405359,"N1 O7","CHON","Lignin",21,23,7,1,0,0,1.1,1.1,11,0.3939,-0.2857,68.44245
"C22 H10 O6 S1",401.0130375,"S1 O6","CHOS","Cond Hydrocarbon",22,10,6,0,1,0,0.45,0.45,18,0.7778,0.1818,55.1187
"C18 H10 O11",401.0154304,"O11","CHO","Cond Hydrocarbon",18,10,11,0,0,0,0.56,0.56,14,0.68,0.6667,41.29905
"C15 H14 O11 S1",401.0187838,"S1 O11","CHOS","Tannin",15,14,11,0,1,0,0.93,0.93,9,0.2941,0.6667,41.29905
"C15 H15 O11 P1",401.0284709,"P1 O11","CHOP","Tannin",15,15,11,0,0,1,1,1,9,0.2941,0.4667,46.99905
"C15 H14 O13",401.0365628,"O13","CHO","Tannin",15,14,13,0,0,0,0.93,0.93,9,0.2941,0.8,37.5
"C19 H15 O8 P1",401.0437149,"P1 O8","CHOP","Cond Hydrocarbon",19,15,8,0,0,1,0.79,0.79,13,0.5714,0.0526,58.8009
"C23 H14 O5 S1",401.0494303,"S1 O5","CHOS","Cond Hydrocarbon",23,14,5,0,1,0,0.61,0.61,17,0.6923,-0.087,62.7795
"C12 H19 O13 P1",401.0494303,"P1 O13","CHOP","Other",12,19,13,0,0,1,1.58,1.58,4,-0.7778,0.5833,43.67595
"C16 H18 O10 S1",401.0551929,"S1 O10","CHOS","Lignin",16,18,10,0,1,0,1.12,1.12,8,0.2,0.25,53.175
"C17 H22 O9 S1",401.0915866,"S1 O9","CHOS","Lignin",17,22,9,0,1,0,1.29,1.29,7,0.1304,-0.1176,63.6516
"C18 H26 O8 S1",401.128005,"S1 O8","CHOS","Lignin",18,26,8,0,1,0,1.44,1.44,6,0.0769,-0.4444,72.9654
"C18 H13 O10 N1",402.0470569,"N1 O10","CHON","Cond Hydrocarbon",18,13,10,1,0,0,0.72,0.72,13,0.5833,0.5556,44.4654
"C21 H41 O4 N1 S1",402.2687593,"N1 S1 O4","CHONS","Lipid",21,41,4,1,1,0,1.95,1.95,2,-0.1176,-1.3333,98.29905
"C22 H12 O6 S1",403.0286992,"S1 O6","CHOS","Cond Hydrocarbon",22,12,6,0,1,0,0.55,0.55,17,0.7222,0.0909,57.70935
"C18 H12 O11",403.0310781,"O11","CHO","Cond Hydrocarbon",18,12,11,0,0,0,0.67,0.67,13,0.6,0.5556,44.4654
"C15 H16 O11 S1",403.034425,"S1 O11","CHOS","Tannin",15,16,11,0,1,0,1.07,1.07,8,0.1765,0.5333,45.10095
"C15 H16 O13",403.0522004,"O13","CHO","Tannin",15,16,13,0,0,0,1.07,1.07,8,0.1765,0.6667,41.29905
"C23 H16 O5 S1",403.0650316,"S1 O5","CHOS","Cond Hydrocarbon",23,16,5,0,1,0,0.7,0.7,16,0.641,-0.1739,65.25615
"C12 H21 O13 P1",403.0650316,"P1 O13","CHOP","Other",12,21,13,0,0,1,1.75,1.75,3,-1,0.4167,48.42405
"C16 H20 O10 S1",403.0708181,"S1 O10","CHOS","Lignin",16,20,10,0,1,0,1.25,1.25,7,0.1,0.125,56.7375
"C18 H16 O9 N2",403.0786762,"N2 O9","CHON","Lignin",18,16,9,2,0,0,0.89,0.89,12,0.4783,0.4444,47.6346
"C17 H24 O9 S1",403.1072345,"S1 O9","CHOS","Lignin",17,24,9,0,1,0,1.41,1.41,6,0.0435,-0.2353,67.00605
"C19 H20 O8 N2",403.1150854,"N2 O8","CHON","Lignin",19,20,8,2,0,0,1.05,1.05,11,0.3846,0.1053,57.29895
"C21 H25 O6 P1",403.1321702,"P1 O6","CHOP","Lignin",21,25,6,0,0,1,1.19,1.19,10,0.3529,-0.619,77.9415
"C18 H28 O8 S1",403.1436296,"S1 O8","CHOS","Protein",18,28,8,0,1,0,1.56,1.56,5,0,-0.5556,76.1346
"C22 H29 O5 P1",403.1685521,"P1 O5","CHOP","Other",22,29,5,0,0,1,1.32,1.32,9,0.2973,-0.8636,84.9126
"C18 H15 O10 N1",404.062726,"N1 O10","CHON","Lignin",18,15,10,1,0,0,0.83,0.83,12,0.5,0.4444,47.6346
"C17 H10 O12",405.0103411,"O12","CHO","Other",17,10,12,0,0,0,0.59,0.59,13,0.6364,0.8235,36.83025
"C18 H14 O9 S1",405.0290191,"S1 O9","CHOS","Cond Hydrocarbon",18,14,9,0,1,0,0.78,0.78,12,0.52,0.3333,50.80095
"C22 H14 O6 S1",405.0443499,"S1 O6","CHOS","Cond Hydrocarbon",22,14,6,0,1,0,0.64,0.64,16,0.6667,0,60.3
"C15 H18 O11 S1",405.0500908,"S1 O11","CHOS","Tannin",15,18,11,0,1,0,1.2,1.2,7,0.0588,0.4,48.9
"C17 H14 O10 N2",405.0580036,"N2 O10","CHON","Lignin",17,14,10,2,0,0,0.82,0.82,12,0.5,0.7059,40.18185
"C15 H19 O11 P1",405.0598074,"P1 O11","CHOP","Tannin",15,19,11,0,0,1,1.27,1.27,7,0.0588,0.2,54.6
"C22 H14 O8",405.0619842,"O8","CHO","Cond Hydrocarbon",22,14,8,0,0,0,0.64,0.64,16,0.6667,0.0909,57.70935
"C19 H18 O8 S1",405.0655304,"S1 O8","CHOS","Lignin",19,18,8,0,1,0,0.95,0.95,11,0.4286,0,60.3
"C15 H18 O13",405.0678307,"O13","CHO","Tannin",15,18,13,0,0,0,1.2,1.2,7,0.0588,0.5333,45.10095
"C23 H18 O5 S1",405.080742,"S1 O5","CHOS","Cond Hydrocarbon",23,18,5,0,1,0,0.78,0.78,15,0.5897,-0.2609,67.73565
"C12 H23 O13 P1",405.080742,"P1 O13","CHOP","Other",12,23,13,0,0,1,1.92,1.92,2,-1.2222,0.25,53.175
"C16 H22 O10 S1",405.0864815,"S1 O10","CHOS","Lignin",16,22,10,0,1,0,1.38,1.38,6,0,0,60.3
"C18 H18 O9 N2",405.0943744,"N2 O9","CHON","Lignin",18,18,9,2,0,0,1,1,11,0.3913,0.3333,50.80095
"C16 H22 O12",405.1042567,"O12","CHO","Other",16,22,12,0,0,0,1.38,1.38,6,0,0.125,56.7375
"C20 H23 O7 P1",405.1114248,"P1 O7","CHOP","Lignin",20,23,7,0,0,1,1.15,1.15,10,0.3548,-0.45,73.125
"C17 H26 O9 S1",405.122914,"S1 O9","CHOS","Protein",17,26,9,0,1,0,1.53,1.53,5,-0.0435,-0.3529,70.35765
"C21 H27 O6 P1",405.147837,"P1 O6","CHOP","Lignin",21,27,6,0,0,1,1.29,1.29,9,0.2941,-0.7143,80.65755
"C17 H13 O11 N1",406.0420116,"N1 O11","CHON","Cond Hydrocarbon",17,13,11,1,0,0,0.76,0.76,12,0.5238,0.7059,40.18185
"C25 H13 O3 N1 S1",406.0545364,"N1 S1 O3","CHONS","Cond Hydrocarbon",25,13,3,1,1,0,0.52,0.52,20,0.7674,-0.08,62.58
"C17 H12 O10 S1",407.0082286,"S1 O10","CHOS","Cond Hydrocarbon",17,12,10,0,1,0,0.71,0.71,12,0.5455,0.5882,43.5363
"C17 H12 O12",407.0260042,"O12","CHO","Tannin",17,12,12,0,0,0,0.71,0.71,12,0.5455,0.7059,40.18185
"C21 H12 O9",407.0412796,"O9","CHO","Cond Hydrocarbon",21,12,9,0,0,0,0.57,0.57,16,0.697,0.2857,52.15755
"C18 H16 O9 S1",407.0447166,"S1 O9","CHOS","Lignin",18,16,9,0,1,0,0.89,0.89,11,0.44,0.2222,53.9673
"C18 H17 O9 P1",407.0543276,"P1 O9","CHOP","Lignin",18,17,9,0,0,1,0.94,0.94,11,0.44,0.0556,58.7154
"C22 H16 O6 S1",407.0600097,"S1 O6","CHOS","Cond Hydrocarbon",22,16,6,0,1,0,0.73,0.73,15,0.6111,-0.0909,62.89065
"C17 H16 O10 N2",407.0736368,"N2 O10","CHON","Lignin",17,16,10,2,0,0,0.94,0.94,11,0.4,0.5882,43.5363
"C22 H16 O8",407.0776447,"O8","CHO","Cond Hydrocarbon",22,16,8,0,0,0,0.73,0.73,15,0.6111,0,60.3
"C19 H20 O8 S1",407.081143,"S1 O8","CHOS","Lignin",19,20,8,0,1,0,1.05,1.05,10,0.3571,-0.1053,63.30105
"C16 H24 O10 S1",407.1021664,"S1 O10","CHOS","Amino Sugar",16,24,10,0,1,0,1.5,1.5,5,-0.1,-0.125,63.8625
"C23 H20 O7",407.1139956,"O7","CHO","Lignin",23,20,7,0,0,0,0.87,0.87,14,0.5385,-0.2609,67.73565
"C16 H24 O12",407.1199231,"O12","CHO","Carbohydrate",16,24,12,0,0,0,1.5,1.5,5,-0.1,0,60.3
"C21 H29 O6 P1",407.1634877,"P1 O6","CHOP","Lignin",21,29,6,0,0,1,1.38,1.38,8,0.2353,-0.8095,83.37075
"C22 H33 O5 P1",407.1998752,"P1 O5","CHOP","Other",22,33,5,0,0,1,1.5,1.5,7,0.1892,-1.0455,90.09675
"C21 H16 O2 N1 P1 S2",408.0293253,"N1 S2 P1 O2","CHO","Unsat Hydrocarbon",21,16,2,1,2,1,0.76,0.76,15,0.625,-0.2381,67.08585
"C17 H15 O11 N1",408.0576401,"N1 O11","CHON","Lignin",17,15,11,1,0,0,0.88,0.88,11,0.4286,0.5882,43.5363
"C16 H10 O11 S1",408.9875021,"S1 O11","CHOS","Cond Hydrocarbon",16,10,11,0,1,0,0.62,0.62,12,0.5789,0.875,35.3625
"C20 H10 O10",409.0205432,"O10","CHO","Cond Hydrocarbon",20,10,10,0,0,0,0.5,0.5,16,0.7333,0.5,46.05
"C17 H14 O10 S1",409.0239199,"S1 O10","CHOS","Lignin",17,14,10,0,1,0,0.82,0.82,11,0.4545,0.4706,46.8879
"C21 H14 O9",409.0569281,"O9","CHO","Cond Hydrocarbon",21,14,9,0,0,0,0.67,0.67,15,0.6364,0.1905,54.87075
"C18 H18 O9 S1",409.0603489,"S1 O9","CHOS","Lignin",18,18,9,0,1,0,1,1,10,0.36,0.1111,57.13365
"C17 H18 O10 N2",409.0892915,"N2 O10","CHON","Lignin",17,18,10,2,0,0,1.06,1.06,10,0.3,0.4706,46.8879
"C20 H26 O7 S1",409.1331428,"S1 O7","CHOS","Lignin",20,26,7,0,1,0,1.3,1.3,8,0.2258,-0.5,74.55
"C24 H26 O6",409.1660313,"O6","CHO","Other",24,26,6,0,0,0,1.08,1.08,12,0.4286,-0.5833,76.92405
"C19 H38 O7 S1",409.2269536,"S1 O7","CHOS","Protein",19,38,7,0,1,0,2,2,1,-0.2414,-1.1579,93.30015
"C20 H13 O9 N1",410.0521706,"N1 O9","CHON","Cond Hydrocarbon",20,13,9,1,0,0,0.65,0.65,15,0.6552,0.4,48.9
"C21 H17 O8 N1",410.0885505,"N1 O8","CHON","Cond Hydrocarbon",21,17,8,1,0,0,0.81,0.81,14,0.5625,0.0952,57.5868
"C14 H21 O13 N1",410.0944743,"N1 O13","CHON","Carbohydrate",14,21,13,1,0,0,1.5,1.5,5,-0.3846,0.5714,44.0151
"C16 H12 O11 S1",411.0031707,"S1 O11","CHOS","Tannin",16,12,11,0,1,0,0.75,0.75,11,0.4737,0.75,38.925
"C16 H12 O13",411.0209277,"O13","CHO","Tannin",16,12,13,0,0,0,0.75,0.75,11,0.4737,0.875,35.3625
"C20 H12 O10",411.0361956,"O10","CHO","Cond Hydrocarbon",20,12,10,0,0,0,0.6,0.6,15,0.6667,0.4,48.9
"C17 H16 O10 S1",411.039568,"S1 O10","CHOS","Lignin",17,16,10,0,1,0,0.94,0.94,10,0.3636,0.3529,50.24235
"C10 H25 O9 N2 P1 S2",411.0670483,"N2 S2 P1 O9","CHO","Other",10,25,9,2,2,1,2.5,2.5,0,-19,0.3,51.75
"C18 H20 O9 S1",411.0759848,"S1 O9","CHOS","Lignin",18,20,9,0,1,0,1.11,1.11,9,0.28,0,60.3
"C15 H25 O11 P1",411.1067448,"P1 O11","CHOP","Carbohydrate",15,25,11,0,0,1,1.67,1.67,4,-0.2941,-0.2,66
"C19 H24 O8 S1",411.1123666,"S1 O8","CHOS","Lignin",19,24,8,0,1,0,1.26,1.26,8,0.2143,-0.3158,69.3003
"C18 H24 O9 N2",411.1412867,"N2 O9","CHON","Lignin",18,24,9,2,0,0,1.33,1.33,8,0.1304,0,60.3
"C20 H28 O7 S1",411.1487371,"S1 O7","CHOS","Lignin",20,28,7,0,1,0,1.4,1.4,7,0.1613,-0.6,77.4
"C18 H7 O9 N1 S1",411.9774616,"N1 S1 O9","CHONS","Cond Hydrocarbon",18,7,9,1,1,0,0.39,0.39,16,0.8261,0.8889,34.96635
"C16 H15 O12 N1",412.0525824,"N1 O12","CHON","Tannin",16,15,12,1,0,0,0.94,0.94,10,0.3333,0.75,38.925
"C20 H15 O9 N1",412.0678021,"N1 O9","CHON","Cond Hydrocarbon",20,15,9,1,0,0,0.75,0.75,14,0.5862,0.3,51.75
"C21 H19 O8 N1",412.1041971,"N1 O8","CHON","Lignin",21,19,8,1,0,0,0.9,0.9,13,0.5,0,60.3
"C19 H10 O11",413.0154666,"O11","CHO","Cond Hydrocarbon",19,10,11,0,0,0,0.53,0.53,15,0.7037,0.6316,42.2994
"C16 H14 O11 S1",413.0188296,"S1 O11","CHOS","Tannin",16,14,11,0,1,0,0.88,0.88,10,0.3684,0.625,42.4875
"C16 H15 O11 P1",413.0285049,"P1 O11","CHOP","Tannin",16,15,11,0,0,1,0.94,0.94,10,0.3684,0.4375,47.83125
"C16 H14 O13",413.0365785,"O13","CHO","Tannin",16,14,13,0,0,0,0.88,0.88,10,0.3684,0.75,38.925
"C20 H14 O10",413.051836,"O10","CHO","Cond Hydrocarbon",20,14,10,0,0,0,0.7,0.7,14,0.6,0.3,51.75
"C17 H18 O10 S1",413.0552333,"S1 O10","CHOS","Lignin",17,18,10,0,1,0,1.06,1.06,9,0.2727,0.2353,53.59395
"C15 H27 O11 P1",413.1224133,"P1 O11","CHOP","Carbohydrate",15,27,11,0,0,1,1.8,1.8,3,-0.4118,-0.3333,69.79905
"C20 H30 O7 S1",413.1644045,"S1 O7","CHOS","Protein",20,30,7,0,1,0,1.5,1.5,6,0.0968,-0.7,80.25
"C21 H35 O6 P1",413.2104123,"P1 O6","CHOP","Lipid",21,35,6,0,0,1,1.67,1.67,5,0.0588,-1.0952,91.5132
"C19 H13 O10 N1",414.0470773,"N1 O10","CHON","Cond Hydrocarbon",19,13,10,1,0,0,0.68,0.68,14,0.6154,0.5263,45.30045
"C20 H17 O9 N1",414.0834698,"N1 O9","CHON","Lignin",20,17,9,1,0,0,0.85,0.85,13,0.5172,0.2,54.6
"C14 H26 O11 N1 P1",414.1176577,"N1 P1 O11","CHONP","Carbohydrate",14,26,11,1,0,1,1.86,1.86,3,-0.6923,-0.0714,62.3349
"C21 H21 O8 N1",414.119858,"N1 O8","CHON","Lignin",21,21,8,1,0,0,1,1,12,0.4375,-0.0952,63.0132
"C23 H12 O6 S1",415.0287246,"S1 O6","CHOS","Cond Hydrocarbon",23,12,6,0,1,0,0.52,0.52,18,0.7368,0.087,57.8205
"C12 H17 O14 P1",415.0287246,"P1 O14","CHOP","Other",12,17,14,0,0,1,1.42,1.42,5,-0.75,0.9167,34.17405
"C19 H12 O11",415.0311099,"O11","CHO","Cond Hydrocarbon",19,12,11,0,0,0,0.63,0.63,14,0.6296,0.5263,45.30045
"C16 H16 O11 S1",415.0344694,"S1 O11","CHOS","Tannin",16,16,11,0,1,0,1,1,9,0.2632,0.5,46.05
"C16 H16 O13",415.0522431,"O13","CHO","Tannin",16,16,13,0,0,0,1,1,9,0.2632,0.625,42.4875
"C24 H16 O5 S1",415.0651306,"S1 O5","CHOS","Cond Hydrocarbon",24,16,5,0,1,0,0.67,0.67,17,0.6585,-0.1667,65.05095
"C13 H21 O13 P1",415.0651306,"P1 O13","CHOP","Carbohydrate",13,21,13,0,0,1,1.62,1.62,4,-0.6364,0.3846,49.3389
"C17 H20 O10 S1",415.0708635,"S1 O10","CHOS","Lignin",17,20,10,0,1,0,1.18,1.18,8,0.1818,0.1176,56.9484
"C20 H20 O8 N2",415.1151295,"N2 O8","CHON","Lignin",20,20,8,2,0,0,1,1,12,0.4286,0.1,57.45
"C19 H28 O8 S1",415.1436768,"S1 O8","CHOS","Protein",19,28,8,0,1,0,1.47,1.47,6,0.0714,-0.5263,75.29955
"C20 H32 O7 S1",415.1800217,"S1 O7","CHOS","Protein",20,32,7,0,1,0,1.6,1.6,5,0.0323,-0.8,83.1
"C19 H15 O10 N1",416.0627393,"N1 O10","CHON","Cond Hydrocarbon",19,15,10,1,0,0,0.79,0.79,13,0.5385,0.4211,48.29865
"C18 H10 O12",417.0103763,"O12","CHO","Cond Hydrocarbon",18,10,12,0,0,0,0.56,0.56,14,0.6667,0.7778,38.1327
"C19 H14 O9 S1",417.0290501,"S1 O9","CHOS","Cond Hydrocarbon",19,14,9,0,1,0,0.74,0.74,13,0.5556,0.3158,51.2997
"C23 H14 O6 S1",417.044371,"S1 O6","CHOS","Cond Hydrocarbon",23,14,6,0,1,0,0.61,0.61,17,0.6842,0,60.3
"C12 H19 O14 P1",417.044371,"P1 O14","CHOP","Other",12,19,14,0,0,1,1.58,1.58,4,-1,0.75,38.925
"C19 H14 O11",417.0467584,"O11","CHO","Cond Hydrocarbon",19,14,11,0,0,0,0.74,0.74,13,0.5556,0.4211,48.29865
"C16 H18 O11 S1",417.0501091,"S1 O11","CHOS","Tannin",16,18,11,0,1,0,1.12,1.12,8,0.1579,0.375,49.6125
"C16 H18 O13",417.0678804,"O13","CHO","Tannin",16,18,13,0,0,0,1.12,1.12,8,0.1579,0.5,46.05
"C24 H18 O5 S1",417.0807528,"S1 O5","CHOS","Cond Hydrocarbon",24,18,5,0,1,0,0.75,0.75,16,0.6098,-0.25,67.425
"C13 H23 O13 P1",417.0807528,"P1 O13","CHOP","Carbohydrate",13,23,13,0,0,1,1.77,1.77,3,-0.8182,0.2308,53.7222
"C17 H22 O10 S1",417.0865153,"S1 O10","CHOS","Lignin",17,22,10,0,1,0,1.29,1.29,7,0.0909,0,60.3
"C19 H18 O9 N2",417.0943828,"N2 O9","CHON","Lignin",19,18,9,2,0,0,0.95,0.95,12,0.44,0.3158,51.2997
"C21 H23 O7 P1",417.1114464,"P1 O7","CHOP","Lignin",21,23,7,0,0,1,1.1,1.1,11,0.3939,-0.4286,72.5151
"C20 H22 O8 N2",417.1307817,"N2 O8","CHON","Lignin",20,22,8,2,0,0,1.1,1.1,11,0.3571,0,60.3
"C19 H30 O8 S1",417.1593482,"S1 O8","CHOS","Protein",19,30,8,0,1,0,1.58,1.58,5,0,-0.6316,78.3006
"C18 H13 O11 N1",418.0420066,"N1 O11","CHON","Cond Hydrocarbon",18,13,11,1,0,0,0.72,0.72,13,0.5652,0.6667,41.29905
"C26 H13 O3 N1 S1",418.0545429,"N1 S1 O3","CHONS","Other",26,13,3,1,1,0,0.5,0.5,21,0.7778,-0.0769,62.49165
"C16 H22 O8 N1 P1 S1",418.0735119,"N1 S1 P1 O8","CHO","Lignin",16,22,8,1,1,1,1.38,1.38,7,0,-0.0625,62.08125
"C18 H12 O10 S1",419.0082518,"S1 O10","CHOS","Cond Hydrocarbon",18,12,10,0,1,0,0.67,0.67,13,0.5833,0.5556,44.4654
"C22 H12 O7 S1",419.0236613,"S1 O7","CHOS","Cond Hydrocarbon",22,12,7,0,1,0,0.55,0.55,17,0.7143,0.1818,55.1187
"C18 H12 O12",419.0260095,"O12","CHO","Cond Hydrocarbon",18,12,12,0,0,0,0.67,0.67,13,0.5833,0.6667,41.29905
"C15 H17 O12 P1",419.0390744,"P1 O12","CHOP","Tannin",15,17,12,0,0,1,1.13,1.13,8,0.125,0.4667,46.99905
"C22 H12 O9",419.0412498,"O9","CHO","Cond Hydrocarbon",22,12,9,0,0,0,0.55,0.55,17,0.7143,0.2727,52.52805
"C19 H16 O9 S1",419.044768,"S1 O9","CHOS","Lignin",19,16,9,0,1,0,0.84,0.84,12,0.4815,0.2105,54.30075
"C23 H16 O6 S1",419.0600203,"S1 O6","CHOS","Cond Hydrocarbon",23,16,6,0,1,0,0.7,0.7,16,0.6316,-0.087,62.7795
"C12 H21 O14 P1",419.0600203,"P1 O14","CHOP","Other",12,21,14,0,0,1,1.75,1.75,3,-1.25,0.5833,43.67595
"C16 H20 O11 S1",419.0657313,"S1 O11","CHOS","Tannin",16,20,11,0,1,0,1.25,1.25,7,0.0526,0.25,53.175
"C18 H16 O10 N2",419.0736203,"N2 O10","CHON","Lignin",18,16,10,2,0,0,0.89,0.89,12,0.4545,0.5556,44.4654
"C23 H16 O8",419.0776269,"O8","CHO","Cond Hydrocarbon",23,16,8,0,0,0,0.7,0.7,16,0.6316,0,60.3
"C20 H20 O8 S1",419.0811985,"S1 O8","CHOS","Lignin",20,20,8,0,1,0,1,1,11,0.4,-0.1,63.15
"C16 H20 O13",419.0835099,"O13","CHO","Tannin",16,20,13,0,0,0,1.25,1.25,7,0.0526,0.375,49.6125
"C20 H21 O8 P1",419.0907433,"P1 O8","CHOP","Lignin",20,21,8,0,0,1,1.05,1.05,11,0.4,-0.25,67.425
"C24 H20 O5 S1",419.0963984,"S1 O5","CHOS","Other",24,20,5,0,1,0,0.83,0.83,15,0.561,-0.3333,69.79905
"C13 H25 O13 P1",419.0963984,"P1 O13","CHOP","Carbohydrate",13,25,13,0,0,1,1.92,1.92,2,-1,0.0769,58.10835
"C17 H24 O10 S1",419.1021852,"S1 O10","CHOS","Lignin",17,24,10,0,1,0,1.41,1.41,6,0,-0.1176,63.6516
"C19 H20 O9 N2",419.1100203,"N2 O9","CHON","Lignin",19,20,9,2,0,0,1.05,1.05,11,0.36,0.2105,54.30075
"C17 H24 O12",419.1199084,"O12","CHO","Amino Sugar",17,24,12,0,0,0,1.41,1.41,6,0,0,60.3
"C21 H25 O7 P1",419.1271099,"P1 O7","CHOP","Lignin",21,25,7,0,0,1,1.19,1.19,10,0.3333,-0.5238,75.2283
"C18 H28 O9 S1",419.138637,"S1 O9","CHOS","Protein",18,28,9,0,1,0,1.56,1.56,5,-0.04,-0.4444,72.9654
"C22 H29 O6 P1",419.163496,"P1 O6","CHOP","Other",22,29,6,0,0,1,1.32,1.32,9,0.2778,-0.7727,82.32195
"C18 H15 O11 N1",420.057665,"N1 O11","CHON","Lignin",18,15,11,1,0,0,0.83,0.83,12,0.4783,0.5556,44.4654
"C18 H14 O10 S1",421.0239318,"S1 O10","CHOS","Cond Hydrocarbon",18,14,10,0,1,0,0.78,0.78,12,0.5,0.4444,47.6346
"C22 H14 O7 S1",421.0393037,"S1 O7","CHOS","Cond Hydrocarbon",22,14,7,0,1,0,0.64,0.64,16,0.6571,0.0909,57.70935
"C18 H14 O12",421.0416779,"O12","CHO","Tannin",18,14,12,0,0,0,0.78,0.78,12,0.5,0.5556,44.4654
"C17 H14 O11 N2",421.0529256,"N2 O11","CHON","Lignin",17,14,11,2,0,0,0.82,0.82,12,0.4737,0.8235,36.83025
"C15 H19 O12 P1",421.054752,"P1 O12","CHOP","Tannin",15,19,12,0,0,1,1.27,1.27,7,0,0.3333,50.80095
"C22 H14 O9",421.0569306,"O9","CHO","Cond Hydrocarbon",22,14,9,0,0,0,0.64,0.64,16,0.6571,0.1818,55.1187
"C19 H18 O9 S1",421.0603826,"S1 O9","CHOS","Lignin",19,18,9,0,1,0,0.95,0.95,11,0.4074,0.1053,57.29895
"C23 H18 O6 S1",421.0756729,"S1 O6","CHOS","Cond Hydrocarbon",23,18,6,0,1,0,0.78,0.78,15,0.5789,-0.1739,65.25615
"C12 H23 O14 P1",421.0756729,"P1 O14","CHOP","Other",12,23,14,0,0,1,1.92,1.92,2,-1.5,0.4167,48.42405
"C16 H22 O11 S1",421.081392,"S1 O11","CHOS","Amino Sugar",16,22,11,0,1,0,1.38,1.38,6,-0.0526,0.125,56.7375
"C18 H18 O10 N2",421.0893028,"N2 O10","CHON","Lignin",18,18,10,2,0,0,1,1,11,0.3636,0.4444,47.6346
"C23 H18 O8",421.0933273,"O8","CHO","Cond Hydrocarbon",23,18,8,0,0,0,0.78,0.78,15,0.5789,-0.087,62.7795
"C17 H26 O10 S1",421.1178283,"S1 O10","CHOS","Amino Sugar",17,26,10,0,1,0,1.53,1.53,5,-0.0909,-0.2353,67.00605
"C24 H22 O7",421.1296233,"O7","CHO","Lignin",24,22,7,0,0,0,0.92,0.92,14,0.5122,-0.3333,69.79905
"C17 H26 O12",421.1355896,"O12","CHO","Carbohydrate",17,26,12,0,0,0,1.53,1.53,5,-0.0909,-0.1176,63.6516
