"","fticrWEOM_processed_60846_2_BTM_rep1_aq2","fticrWEOM_processed_60846_5_BTM_rep1_aq2"
"C23 H29 O14 P1",1,0
"C34 H24 O8",1,0
"C16 H37 O13 N2 P1 S2",1,0
"C27 H28 O13",1,1
"C33 H24 O7 N2",1,0
"C24 H33 O13 P1",1,1
"C28 H33 O10 P1",1,0
"C28 H32 O12",1,1
"C25 H37 O12 P1",1,1
"C29 H36 O11",1,1
"C21 H41 O13 N2 P1",1,0
"C26 H41 O11 P1",1,1
"C26 H40 O13",1,1
"C30 H40 O10",1,1
"C27 H45 O10 P1",1,1
"C27 H44 O12",1,1
"C24 H48 O14",1,0
"C39 H44 O1 S1",1,0
"C28 H49 O9 P1",1,0
"C28 H48 O11",1,1
"C29 H53 O8 P1",1,0
"C29 H52 O10",1,0
"C30 H56 O9",1,0
"C26 H27 O13 N1",1,1
"C23 H31 O15 N1",1,0
"C32 H36 O2 N1 P1 S2",1,1
"C24 H35 O14 N1",1,1
"C33 H40 O1 N1 P1 S2",1,1
"C25 H39 O13 N1",1,1
"C26 H43 O12 N1",1,1
"C27 H47 O11 N1",1,0
"C28 H51 O10 N1",1,0
"C33 H55 O4 N1 S1",1,0
"C26 H26 O14",1,1
"C34 H26 O6 S1",1,0
"C23 H31 O14 P1",1,0
"C27 H31 O11 P1",1,0
"C27 H30 O13",1,1
"C35 H30 O5 S1",1,0
"C24 H35 O13 P1",1,1
"C28 H35 O10 P1",1,0
"C35 H30 O7",1,0
"C28 H34 O12",1,1
"C25 H39 O12 P1",1,1
"C40 H34 O1 S1",1,0
"C29 H39 O9 P1",1,0
"C29 H38 O11",1,1
"C26 H43 O11 P1",1,1
"C30 H42 O10",1,1
"C38 H42 O2 S1",1,0
"C27 H47 O10 P1",1,1
"C27 H46 O12",1,0
"C28 H51 O9 P1",1,1
"C29 H55 O8 P1",1,0
"C31 H34 O3 N1 P1 S2",1,1
"C32 H38 O2 N1 P1 S2",1,1
"C24 H37 O14 N1",1,1
"C33 H42 O1 N1 P1 S2",1,1
"C25 H41 O13 N1",1,1
"C26 H45 O12 N1",1,1
"C27 H49 O11 N1",1,0
"C29 H25 O8 P1 S1",1,0
"C25 H24 O15",1,1
"C30 H29 O7 P1 S1",1,0
"C26 H29 O12 P1",1,0
"C26 H28 O14",1,1
"C23 H33 O14 P1",1,1
"C27 H33 O11 P1",1,1
"C27 H32 O13",1,1
"C35 H32 O5 S1",1,0
"C24 H37 O13 P1",1,1
"C28 H37 O10 P1",1,1
"C28 H36 O12",1,1
"C36 H36 O4 S1",1,0
"C25 H41 O12 P1",1,1
"C29 H41 O9 P1",1,1
"C29 H40 O11",1,1
"C37 H40 O3 S1",1,0
"C26 H45 O11 P1",1,1
"C30 H44 O10",1,1
"C38 H44 O2 S1",1,0
"C27 H49 O10 P1",1,1
"C28 H53 O9 P1",1,0
"C29 H57 O8 P1",1,0
"C30 H32 O4 N1 P1 S2",1,1
"C26 H31 O13 N1",1,1
"C31 H36 O3 N1 P1 S2",1,1
"C27 H35 O12 N1",1,1
"C32 H40 O2 N1 P1 S2",1,1
"C24 H40 O12 N1 P1",1,0
"C33 H44 O1 N1 P1 S2",1,1
"C36 H39 O3 N1 S1",1,0
"C25 H44 O11 N1 P1",1,0
"C25 H43 O13 N1",1,1
"C27 H51 O11 N1",1,0
"C25 H26 O15",1,1
"C26 H31 O12 P1",1,0
"C26 H30 O14",1,1
"C27 H35 O11 P1",1,1
"C27 H34 O13",1,1
"C28 H39 O10 P1",1,1
"C28 H38 O12",1,1
"C25 H43 O12 P1",1,1
"C29 H43 O9 P1",1,1
"C29 H42 O11",1,1
"C37 H42 O3 S1",1,0
"C26 H47 O11 P1",1,1
"C30 H47 O8 P1",1,0
"C30 H46 O10",1,1
"C27 H51 O10 P1",1,1
"C31 H50 O9",1,0
"C34 H63 O4 P1",1,1
"C25 H29 O14 N1",1,1
"C26 H33 O13 N1",1,1
"C31 H38 O3 N1 P1 S2",1,1
"C22 H37 O14 N3",1,0
"C27 H37 O12 N1",1,1
"C37 H33 O1 N3 S1",1,0
"C26 H38 O9 N3 P1",1,0
"C24 H42 O12 N1 P1",1,0
"C24 H41 O14 N1",1,1
"C33 H61 O6 N1",1,1
"C25 H29 O13 P1",1,0
"C25 H28 O15",1,1
"C18 H37 O12 N2 P1 S2",1,0
"C29 H28 O12",1,1
"C26 H33 O12 P1",1,1
"C26 H32 O14",1,1
"C19 H41 O11 N2 P1 S2",1,0
"C30 H32 O11",1,1
"C27 H37 O11 P1",1,1
"C27 H36 O13",1,1
"C31 H36 O10",1,1
"C28 H41 O10 P1",1,1
"C28 H40 O12",1,1
"C25 H45 O12 P1",1,1
"C24 H45 O11 N2 P1",1,0
"C29 H45 O9 P1",1,1
"C29 H44 O11",1,1
"C26 H49 O11 P1",1,1
"C30 H49 O8 P1",1,0
"C30 H48 O10",1,1
"C31 H52 O9",1,0
"C32 H56 O8",1,0
"C25 H31 O14 N1",1,1
"C26 H35 O13 N1",1,1
"C31 H40 O3 N1 P1 S2",1,1
"C27 H39 O12 N1",1,1
"C24 H44 O12 N1 P1",1,0
"C24 H43 O14 N1",1,1
"C21 H14 O15 S2",1,0
"C23 H11 O12 N2 P1 S1",1,0
"C37 H18 O3 N2 S1",1,0
"C16 H30 O16 N2 S2",1,0
"C28 H26 O13",1,1
"C25 H31 O13 P1",1,1
"C25 H30 O15",1,1
"C29 H30 O12",1,1
"C26 H35 O12 P1",1,1
"C26 H34 O14",1,1
"C19 H43 O11 N2 P1 S2",1,1
"C30 H34 O11",1,1
"C27 H39 O11 P1",1,1
"C27 H38 O13",1,1
"C28 H43 O10 P1",1,1
"C28 H42 O12",1,1
"C25 H47 O12 P1",1,1
"C40 H42 O1 S1",1,0
"C29 H47 O9 P1",1,1
"C36 H42 O6",1,0
"C29 H46 O11",1,1
"C30 H50 O10",1,1
"C31 H54 O9",1,0
"C32 H58 O8",1,0
"C34 H66 O2 S2",1,1
"C24 H29 O15 N1",1,1
"C25 H33 O14 N1",1,1
"C26 H37 O13 N1",1,1
"C24 H45 O14 N1",1,0
"C36 H16 O6 N2",1,0
"C24 H29 O14 P1",1,0
"C35 H24 O8",1,0
"C17 H37 O13 N2 P1 S2",1,0
"C21 H33 O16 P1",1,1
"C28 H28 O13",1,1
"C25 H33 O13 P1",1,1
"C25 H32 O15",1,1
"C36 H28 O7",1,0
"C18 H41 O12 N2 P1 S2",1,0
"C29 H32 O12",1,1
"C26 H37 O12 P1",1,1
"C26 H36 O14",1,1
"C30 H36 O11",1,1
"C27 H41 O11 P1",1,1
"C27 H40 O13",1,1
"C31 H40 O10",1,1
"C28 H45 O10 P1",1,1
"C28 H44 O12",1,1
"C29 H49 O9 P1",1,1
"C29 H48 O11",1,1
"C30 H52 O10",1,1
"C31 H56 O9",1,0
"C39 H56 O1 S1",1,0
"C24 H31 O15 N1",1,1
"C33 H36 O2 N1 P1 S2",1,1
"C25 H35 O14 N1",1,1
"C26 H39 O13 N1",1,1
"C27 H43 O12 N1",1,1
"C28 H47 O11 N1",1,0
"C29 H51 O10 N1",1,0
"C18 H7 O18 P1 S1",1,0
"C27 H26 O14",1,1
"C24 H31 O14 P1",1,1
"C17 H39 O13 N2 P1 S2",1,0
"C28 H30 O13",1,1
"C25 H35 O13 P1",1,1
"C29 H34 O12",1,1
"C26 H39 O12 P1",1,1
"C30 H38 O11",1,1
"C27 H43 O11 P1",1,1
"C26 H42 O12 N2",1,0
"C28 H47 O10 P1",1,1
"C28 H46 O12",1,1
"C29 H51 O9 P1",1,0
"C29 H50 O11",1,1
"C26 H54 O11 S1",1,0
"C30 H54 O10",1,0
"C32 H63 O6 P1",1,0
"C17 H6 O20 N1 P1",1,1
"C23 H29 O16 N1",1,0
"C32 H34 O3 N1 P1 S2",1,1
"C33 H38 O2 N1 P1 S2",1,1
"C34 H42 O1 N1 P1 S2",1,1
"C31 H45 O5 N1 S2",1,0
"C33 H42 O2 N3 P1 S1",1,0
"C27 H45 O12 N1",1,1
"C28 H49 O11 N1",1,0
"C29 H53 O10 N1",1,0
"C37 H73 O1 N3",1,0
"C27 H28 O14",1,1
"C24 H33 O14 P1",1,1
"C28 H33 O11 P1",1,0
"C35 H28 O8",1,0
"C28 H32 O13",1,1
"C36 H32 O5 S1",1,0
"C25 H37 O13 P1",1,1
"C29 H36 O12",1,1
"C26 H41 O12 P1",1,1
"C30 H40 O11",1,1
"C27 H45 O11 P1",1,1
"C31 H44 O10",1,1
"C39 H44 O2 S1",1,0
"C28 H49 O10 P1",1,1
"C25 H52 O12 S1",1,0
"C27 H49 O9 N2 P1",1,0
"C40 H48 O1 S1",1,0
"C29 H53 O9 P1",1,0
"C37 H52 O3 S1",1,0
"C32 H65 O6 P1",1,0
"C27 H31 O13 N1",1,1
"C32 H36 O3 N1 P1 S2",1,1
"C33 H40 O2 N1 P1 S2",1,1
"C26 H43 O13 N1",1,1
"C34 H43 O7 N1",1,0
"C27 H47 O12 N1",1,1
"C28 H51 O11 N1",1,0
"C20 H7 O13 N2 P1 S2",1,1
"C26 H26 O15",1,1
"C31 H31 O7 P1 S1",1,0
"C38 H26 O4 S1",1,0
"C27 H31 O12 P1",1,0
"C27 H30 O14",1,1
"C28 H35 O11 P1",1,1
"C28 H34 O13",1,1
"C36 H34 O5 S1",1,0
"C25 H39 O13 P1",1,1
"C29 H39 O10 P1",1,1
"C29 H38 O12",1,1
"C26 H43 O12 P1",1,1
"C30 H42 O11",1,1
"C38 H42 O3 S1",1,1
"C27 H47 O11 P1",1,1
"C28 H51 O10 P1",1,1
"C40 H50 O1 S1",1,0
"C29 H55 O9 P1",1,0
"C30 H59 O8 P1",1,0
"C26 H29 O14 N1",1,0
"C29 H30 O6 N3 P1 S1",1,0
"C31 H34 O4 N1 P1 S2",1,1
"C32 H38 O3 N1 P1 S2",1,1
"C37 H29 O4 N3",1,1
"C28 H37 O12 N1",1,1
"C26 H45 O13 N1",1,0
"C27 H49 O12 N1",1,0
"C28 H53 O11 N1",1,0
"C26 H29 O13 P1",1,0
"C26 H28 O15",1,1
"C27 H33 O12 P1",1,0
"C27 H32 O14",1,1
"C28 H37 O11 P1",1,1
"C28 H36 O13",1,1
"C25 H41 O13 P1",1,1
"C29 H41 O10 P1",1,1
"C29 H40 O12",1,1
"C26 H45 O12 P1",1,1
"C30 H44 O11",1,1
"C27 H49 O11 P1",1,1
"C31 H49 O8 P1",1,1
"C28 H53 O10 P1",1,0
"C40 H52 O1 S1",1,0
"C29 H57 O9 P1",1,0
"C31 H36 O4 N1 P1 S2",1,1
"C27 H35 O13 N1",1,1
"C32 H40 O3 N1 P1 S2",1,1
"C26 H35 O12 N3",1,0
"C28 H39 O12 N1",1,1
"C25 H44 O12 N1 P1",1,0
"C26 H48 O11 N1 P1",1,0
"C37 H76 O1 N1 P1",1,0
"C26 H31 O13 P1",1,1
"C26 H30 O15",1,1
"C19 H39 O12 N2 P1 S2",1,0
"C30 H30 O12",1,1
"C38 H30 O4 S1",1,0
"C27 H35 O12 P1",1,1
"C27 H34 O14",1,1
"C20 H43 O11 N2 P1 S2",1,0
"C31 H34 O11",1,0
"C28 H39 O11 P1",1,1
"C28 H38 O13",1,1
"C36 H38 O5 S1",1,0
"C25 H43 O13 P1",1,1
"C29 H43 O10 P1",1,1
"C29 H42 O12",1,1
"C37 H42 O4 S1",1,0
"C26 H47 O12 P1",1,1
"C34 H46 O6 S1",1,0
"C30 H46 O11",1,1
"C27 H51 O11 P1",1,0
"C31 H50 O10",1,1
"C32 H54 O9",1,0
"C33 H58 O8",1,0
"C34 H63 O5 P1",1,1
"C29 H17 O7 N3 S2",1,0
"C18 H22 O15 N3 P1 S1",1,0
"C26 H33 O14 N1",1,1
"C30 H38 O3 N3 P1 S2",1,0
"C27 H37 O13 N1",1,1
"C37 H33 O4 N3",1,0
"C28 H41 O12 N1",1,1
"C31 H42 O4 N3 P1 S1",1,0
"C25 H46 O12 N1 P1",1,0
"C26 H50 O11 N1 P1",1,0
"C32 H57 O4 N1 S2",1,0
"C34 H54 O1 N3 P1 S1",1,1
"C33 H61 O7 N1",1,1
"C25 H29 O14 P1",1,0
"C29 H28 O13",1,1
"C26 H33 O13 P1",1,1
"C26 H32 O15",1,1
"C19 H41 O12 N2 P1 S2",1,1
"C30 H32 O12",1,1
"C38 H32 O4 S1",1,0
"C27 H37 O12 P1",1,1
"C27 H36 O14",1,1
"C20 H45 O11 N2 P1 S2",1,1
"C31 H36 O11",1,1
"C28 H41 O11 P1",1,1
"C28 H40 O13",1,1
"C25 H45 O13 P1",1,1
"C40 H40 O2 S1",1,0
"C29 H45 O10 P1",1,1
"C29 H44 O12",1,1
"C26 H49 O12 P1",1,0
"C30 H48 O11",1,1
"C31 H52 O10",1,0
"C32 H56 O9",1,0
"C33 H60 O8",1,0
"C25 H31 O15 N1",1,0
"C26 H35 O14 N1",1,1
"C27 H39 O13 N1",1,1
"C28 H43 O12 N1",1,1
"C32 H11 O6 P1 S2",1,0
"C36 H26 O6 S1",1,0
"C25 H31 O14 P1",1,0
"C18 H39 O13 N2 P1 S2",1,0
"C29 H30 O13",1,1
"C26 H35 O13 P1",1,0
"C19 H43 O12 N2 P1 S2",1,1
"C30 H34 O12",1,1
"C27 H39 O12 P1",1,1
"C27 H38 O14",1,1
"C31 H38 O11",1,1
"C28 H43 O11 P1",1,1
"C28 H42 O13",1,1
"C36 H42 O5 S1",1,0
"C25 H47 O13 P1",1,1
"C40 H42 O2 S1",1,0
"C29 H47 O10 P1",1,1
"C29 H46 O12",1,1
"C30 H50 O11",1,1
"C31 H54 O10",1,0
"C32 H58 O9",1,0
"C37 H34 O2 N1 P1 S1",1,0
"C34 H38 O2 N1 P1 S2",1,1
"C26 H37 O14 N1",1,1
"C27 H41 O13 N1",1,1
"C24 H45 O15 N1",1,0
"C28 H45 O12 N1",1,0
"C28 H49 O8 N3 S1",1,1
"C29 H49 O11 N1",1,0
"C28 H49 O10 N3",1,1
"C21 H16 O16 S2",1,0
"C23 H13 O13 N2 P1 S1",1,0
"C28 H28 O14",1,1
"C25 H33 O14 P1",1,1
"C29 H32 O13",1,1
"C37 H32 O5 S1",1,0
"C26 H37 O13 P1",1,1
"C30 H36 O12",1,1
"C27 H41 O12 P1",1,1
"C31 H40 O11",1,1
"C39 H40 O3 S1",1,0
"C28 H45 O11 P1",1,1
"C35 H40 O8",1,0
"C28 H44 O13",1,1
"C29 H49 O10 P1",1,1
"C29 H48 O12",1,1
"C30 H53 O9 P1",1,0
"C30 H52 O11",1,0
"C34 H52 O8",1,1
"C31 H56 O10",1,0
"C33 H65 O6 P1",1,0
"C18 H8 O20 N1 P1",1,0
"C27 H27 O14 N1",1,0
"C24 H31 O16 N1",1,0
"C25 H35 O15 N1",1,1
"C34 H40 O2 N1 P1 S2",1,1
"C26 H39 O14 N1",1,1
"C27 H43 O13 N1",1,1
"C28 H47 O12 N1",1,0
"C38 H43 O3 N3",1,1
"C29 H51 O11 N1",1,0
"C27 H26 O15",1,1
"C24 H31 O15 P1",1,0
"C28 H30 O14",1,1
"C36 H30 O6 S1",1,0
"C25 H35 O14 P1",1,0
"C29 H35 O11 P1",1,0
"C29 H34 O13",1,1
"C33 H35 O8 P1",1,0
"C26 H39 O13 P1",1,1
"C30 H38 O12",1,1
"C38 H38 O4 S1",1,1
"C27 H43 O12 P1",1,1
"C31 H42 O11",1,1
"C39 H42 O3 S1",1,0
"C28 H47 O11 P1",1,1
"C29 H51 O10 P1",1,1
"C26 H54 O12 S1",1,0
"C39 H46 O1 N2 S1",1,0
"C28 H51 O9 N2 P1",1,0
"C30 H55 O9 P1",1,0
"C33 H67 O6 P1",1,0
"C27 H34 O6 N3 P1 S2",1,0
"C28 H33 O13 N1",1,0
"C33 H38 O3 N1 P1 S2",1,1
"C27 H45 O13 N1",1,0
"C28 H49 O12 N1",1,0
"C29 H53 O11 N1",1,0
"C21 H9 O13 N2 P1 S2",1,0
"C29 H20 O14",1,1
"C38 H24 O5 S1",1,0
"C27 H29 O13 P1",1,0
"C27 H28 O15",1,1
"C32 H33 O7 P1 S1",1,0
"C28 H33 O12 P1",1,0
"C28 H32 O14",1,1
"C43 H28 O3",1,0
"C25 H41 O8 N2 P1 S2",1,0
"C29 H37 O11 P1",1,1
"C29 H36 O13",1,1
"C26 H41 O13 P1",1,1
"C30 H40 O12",1,1
"C38 H40 O4 S1",1,0
"C27 H45 O12 P1",1,1
"C31 H44 O11",1,1
"C39 H44 O3 S1",1,0
"C28 H49 O11 P1",1,1
"C40 H48 O2 S1",1,0
"C29 H53 O10 P1",1,1
"C30 H57 O9 P1",1,0
"C30 H12 O7 N1 P1 S2",1,0
"C29 H12 O10 N3 P1",1,0
"C19 H19 O15 N3 S2",1,0
"C36 H20 O6 N1 P1",1,0
"C32 H36 O4 N1 P1 S2",1,1
"C33 H40 O3 N1 P1 S2",1,1
"C27 H47 O13 N1",1,0
"C21 H7 O17 P1 S1",1,1
"C31 H31 O8 P1 S1",1,0
"C27 H31 O13 P1",1,0
"C27 H30 O15",1,1
"C28 H35 O12 P1",1,0
"C28 H34 O14",1,1
"C29 H39 O11 P1",1,0
"C29 H38 O13",1,1
"C37 H38 O5 S1",1,0
"C26 H43 O13 P1",1,1
"C30 H42 O12",1,1
"C27 H47 O12 P1",1,1
"C39 H46 O3 S1",1,0
"C28 H51 O11 P1",1,1
"C29 H55 O10 P1",1,0
"C35 H67 O3 N2 P1",1,0
"C29 H10 O10 N1 P1 S1",1,0
"C32 H38 O4 N1 P1 S2",1,1
"C28 H37 O13 N1",1,1
"C33 H42 O3 N1 P1 S2",1,1
"C25 H42 O13 N1 P1",1,0
"C29 H41 O12 N1",1,0
"C25 H45 O11 N3 S1",1,0
"C30 H28 O13",1,1
"C27 H33 O13 P1",1,1
"C27 H32 O15",1,1
"C28 H37 O12 P1",1,1
"C28 H36 O14",1,1
"C32 H36 O11",1,1
"C29 H41 O11 P1",1,1
"C24 H40 O15 N2",1,0
"C29 H40 O13",1,1
"C30 H44 O12",1,1
"C31 H48 O11",1,1
"C28 H53 O11 P1",1,0
"C32 H52 O10",1,0
"C33 H56 O9",1,0
"C26 H31 O15 N1",1,0
"C27 H35 O14 N1",1,1
"C28 H39 O13 N1",1,1
"C26 H31 O14 P1",1,0
"C30 H30 O13",1,1
"C27 H35 O13 P1",1,1
"C27 H34 O15",1,1
"C38 H30 O7",1,0
"C20 H43 O12 N2 P1 S2",1,0
"C31 H34 O12",1,1
"C28 H39 O12 P1",1,1
"C28 H38 O14",1,1
"C21 H47 O11 N2 P1 S2",1,0
"C32 H38 O11",1,1
"C40 H38 O3 S1",1,0
"C29 H43 O11 P1",1,1
"C29 H42 O13",1,1
"C30 H46 O12",1,1
"C31 H50 O11",1,1
"C32 H54 O10",1,0
"C33 H58 O9",1,0
"C34 H63 O6 P1",1,1
"C27 H21 O15 N1",1,0
"C30 H22 O7 N3 P1 S1",1,0
"C27 H37 O14 N1",1,1
"C40 H29 O3 N3",1,0
"C24 H42 O14 N1 P1",1,0
"C33 H61 O8 N1",1,1
"C20 H29 O13 N2 P1 S2",1,0
"C37 H28 O6 S1",1,0
"C26 H33 O14 P1",1,1
"C30 H32 O13",1,1
"C27 H37 O13 P1",1,1
"C31 H36 O12",1,1
"C39 H36 O4 S1",1,0
"C28 H41 O12 P1",1,1
"C28 H40 O14",1,1
"C29 H45 O11 P1",1,1
"C30 H48 O12",1,1
"C31 H52 O11",1,1
"C32 H56 O10",1,0
"C33 H60 O9",1,0
"C34 H65 O6 P1",1,0
"C40 H15 O2 N3 S1",1,0
"C29 H20 O10 N3 P1",1,0
"C19 H27 O15 N3 S2",1,0
"C24 H27 O17 N1",1,0
"C38 H23 O1 N3 S2",1,0
"C27 H28 O9 N3 P1 S1",1,0
"C30 H51 O11 N1",1,0
"C22 H7 O13 N2 P1 S2",1,0
"C22 H18 O16 S2",1,0
"C24 H15 O13 N2 P1 S1",1,0
"C17 H30 O19 S2",1,0
"C40 H15 O3 N2 P1",1,0
"C30 H22 O8 N2 S2",1,0
"C19 H27 O16 N2 P1 S1",1,0
"C38 H23 O2 N2 P1 S1",1,0
"C17 H35 O15 N2 P1 S2",1,0
"C29 H30 O14",1,1
"C26 H35 O14 P1",1,1
"C30 H34 O13",1,1
"C38 H34 O5 S1",1,0
"C27 H39 O13 P1",1,1
"C31 H38 O12",1,1
"C28 H43 O12 P1",1,1
"C32 H42 O11",1,1
"C29 H46 O13",1,1
"C30 H50 O12",1,1
"C31 H54 O11",1,0
"C32 H58 O10",1,0
"C34 H67 O6 P1",1,0
"C37 H21 O4 N3 S1",1,0
"C26 H26 O12 N3 P1",1,0
"C16 H33 O17 N3 S2",1,0
"C34 H37 O7 N1 S1",1,0
"C23 H42 O15 N1 P1",1,0
"C27 H41 O14 N1",1,1
"C28 H45 O13 N1",1,1
"C29 H49 O12 N1",1,0
"C30 H53 O11 N1",1,0
"C33 H65 O8 N1",1,0
"C39 H74 O1 N1 P1",1,0
"C37 H21 O5 N2 P1",1,0
"C27 H28 O10 N2 S2",1,0
"C16 H33 O18 N2 P1 S1",1,0
"C28 H28 O15",1,1
"C29 H32 O14",1,1
"C26 H37 O14 P1",1,0
"C30 H36 O13",1,1
"C38 H36 O5 S1",1,0
"C27 H41 O13 P1",1,1
"C31 H40 O12",1,1
"C32 H44 O11",1,1
"C29 H49 O11 P1",1,1
"C26 H52 O15",1,1
"C30 H53 O10 P1",1,0
"C31 H57 O9 P1",1,0
"C38 H52 O6",1,0
"C34 H69 O6 P1",1,0
"C34 H40 O3 N1 P1 S2",1,1
"C27 H43 O14 N1",1,0
"C28 H47 O13 N1",1,0
"C29 H51 O12 N1",1,0
"C28 H30 O15",1,1
"C40 H30 O4 S1",1,0
"C29 H35 O12 P1",1,0
"C29 H34 O14",1,1
"C30 H39 O11 P1",1,0
"C30 H38 O13",1,1
"C31 H42 O12",1,1
"C28 H47 O12 P1",1,1
"C25 H50 O14 S1",1,0
"C27 H47 O11 N2 P1",1,0
"C29 H51 O11 P1",1,1
"C41 H50 O2 S1",1,0
"C30 H55 O10 P1",1,0
"C34 H54 O7 S1",1,1
"C42 H54 O1 S1",1,0
"C31 H59 O9 P1",1,0
"C33 H38 O4 N1 P1 S2",1,1
"C34 H42 O3 N1 P1 S2",1,1
"C28 H49 O13 N1",1,0
"C22 H9 O17 P1 S1",1,1
"C28 H33 O13 P1",1,1
"C28 H32 O15",1,1
"C40 H32 O4 S1",1,0
"C29 H37 O12 P1",1,1
"C29 H36 O14",1,1
"C30 H41 O11 P1",1,0
"C30 H40 O13",1,1
"C31 H44 O12",1,1
"C24 H48 O17",1,0
"C39 H44 O4 S1",1,1
"C28 H49 O12 P1",1,1
"C29 H53 O11 P1",1,1
"C30 H57 O10 P1",1,0
"C34 H44 O3 N1 P1 S2",1,1
"C38 H43 O4 N1 S1",1,0
"C27 H48 O12 N1 P1",1,0
"C20 H7 O19 N2 P1",1,0
"C38 H26 O6 S1",1,0
"C27 H31 O14 P1",1,0
"C39 H30 O5 S1",1,0
"C28 H35 O13 P1",1,1
"C28 H34 O15",1,1
"C29 H39 O12 P1",1,1
"C29 H38 O14",1,1
"C30 H43 O11 P1",1,1
"C30 H42 O13",1,1
"C31 H46 O12",1,1
"C28 H51 O12 P1",1,0
"C29 H55 O11 P1",1,0
"C33 H54 O10",1,0
"C29 H59 O9 N2 P1",1,0
"C34 H58 O9",1,0
"C19 H37 O19 N3",1,0
"C28 H37 O14 N1",1,0
"C38 H28 O6 S1",1,0
"C27 H33 O14 P1",1,0
"C31 H32 O13",1,1
"C28 H37 O13 P1",1,1
"C28 H36 O15",1,1
"C32 H36 O12",1,1
"C29 H41 O12 P1",1,1
"C29 H40 O14",1,1
"C41 H40 O3 S1",1,0
"C30 H45 O11 P1",1,0
"C30 H44 O13",1,1
"C31 H48 O12",1,1
"C32 H52 O11",1,0
"C33 H56 O10",1,0
"C29 H61 O7 N2 P1 S1",1,0
"C34 H60 O9",1,0
"C27 H35 O15 N1",1,0
"C25 H27 O16 P1",1,0
"C30 H30 O14",1,1
"C38 H30 O6 S1",1,0
"C27 H35 O14 P1",1,0
"C26 H34 O15 N2",1,0
"C31 H34 O13",1,1
"C39 H34 O5 S1",1,0
"C28 H39 O13 P1",1,1
"C32 H38 O12",1,1
"C40 H38 O4 S1",1,0
"C29 H43 O12 P1",1,1
"C30 H46 O13",1,1
"C43 H38 O2 N2",1,0
"C31 H50 O12",1,1
"C32 H54 O11",1,0
"C33 H58 O10",1,0
"C34 H63 O7 P1",1,1
"C34 H62 O9",1,0
"C35 H67 O6 P1",1,0
"C30 H38 O5 N3 P1 S2",1,0
"C29 H45 O13 N1",1,0
"C35 H73 O3 N3 S1",1,0
"C23 H9 O13 N2 P1 S2",1,0
"C41 H17 O1 N2 P1 S1",1,0
"C20 H29 O14 N2 P1 S2",1,0
"C38 H21 O3 N2 P1 S1",1,0
"C17 H33 O16 N2 P1 S2",1,0
"C25 H29 O16 P1",1,0
"C30 H32 O14",1,1
"C38 H32 O6 S1",1,0
"C27 H37 O14 P1",1,0
"C31 H36 O13",1,1
"C28 H41 O13 P1",1,1
"C32 H40 O12",1,1
"C40 H40 O4 S1",1,1
"C29 H45 O12 P1",1,1
"C30 H48 O13",1,1
"C31 H52 O12",1,0
"C43 H52 O1 S1",1,0
"C32 H57 O9 P1",1,0
"C32 H56 O11",1,0
"C33 H60 O10",1,0
"C41 H60 O2 S1",1,0
"C35 H69 O6 P1",1,0
"C24 H27 O18 N1",1,0
"C38 H23 O2 N3 S2",1,0
"C27 H28 O10 N3 P1 S1",1,0
"C28 H43 O14 N1",1,0
"C30 H51 O12 N1",1,0
"C36 H63 O1 N3 S2",1,0
"C34 H71 O6 N3",1,0
"C38 H23 O3 N2 P1 S1",1,0
"C17 H35 O16 N2 P1 S2",1,0
"C29 H30 O15",1,1
"C30 H34 O14",1,1
"C38 H34 O6 S1",1,0
"C27 H39 O14 P1",1,0
"C31 H38 O13",1,1
"C32 H42 O12",1,1
"C29 H47 O12 P1",1,1
"C31 H55 O10 P1",1,0
"C32 H59 O9 P1",1,0
"C40 H74 O4",1,0
"C32 H34 O6 N3 P1 S1",1,0
"C34 H38 O4 N1 P1 S2",1,1
"C28 H45 O14 N1",1,0
"C30 H53 O12 N1",1,0
"C38 H74 O1 N3 P1",1,1
"C29 H32 O15",1,1
"C41 H32 O4 S1",1,0
"C30 H37 O12 P1",1,0
"C30 H36 O14",1,1
"C31 H40 O13",1,1
"C39 H40 O5 S1",1,1
"C28 H45 O13 P1",1,1
"C32 H44 O12",1,1
"C29 H49 O12 P1",1,1
"C41 H48 O3 S1",1,0
"C30 H53 O11 P1",1,0
"C27 H56 O13 S1",1,0
"C40 H48 O2 N2 S1",1,0
"C29 H53 O10 N2 P1",1,0
"C42 H52 O2 S1",1,0
"C31 H57 O10 P1",1,0
"C28 H51 O12 N3",1,0
"C29 H34 O15",1,1
"C30 H38 O14",1,1
"C31 H42 O13",1,1
"C29 H51 O12 P1",1,0
"C26 H54 O16",1,0
"C39 H46 O5 N2",1,0
"C41 H50 O3 S1",1,0
"C30 H55 O11 P1",1,0
"C26 H45 O14 N3",1,0
"C30 H45 O11 N3",1,0
"C28 H32 O16",1,1
"C32 H32 O13",1,1
"C40 H32 O5 S1",1,0
"C29 H37 O13 P1",1,1
"C29 H36 O15",1,1
"C30 H41 O12 P1",1,1
"C30 H40 O14",1,1
"C33 H52 O11",1,0
"C35 H32 O8 N1 P1",1,0
"C25 H39 O13 N1 S2",1,0
"C39 H30 O6 S1",1,0
"C28 H35 O14 P1",1,0
"C32 H34 O13",1,1
"C29 H39 O13 P1",1,1
"C33 H38 O12",1,1
"C41 H38 O4 S1",1,0
